bigg_id,name,reaction_string,ec_numbers
CODSCL5DA,Cobalt precorrin 5a deacetylation,h2o_c + codscl5a_c <-> h_c + acald_c + codscl5b_c,3.7.1.12
CODSCL8XI,Cobalt precorrin 8x isomerase,codscl8x_c <-> cobya_c,5.4.99.60
LTHRK,L threonine kinase,atp_c + thr__L_c <-> adp_c + h_c + thrp_c,2.7.1.177
THRPDC,L threonine phosphate decarboxylase,h_c + thrp_c <-> co2_c + applp_c,4.1.1.81
CDPGLC46DH,CDP glucose 4 6 dehydratase,cdpglc_c <-> h2o_c + cdp4dh6doglc_c,4.2.1.45
3MMD,3-methylmalate dehydrogenase,nad_c + r3mmal_c <-> 2m3osuc_c + h_c + nadh_c,1.1.1
ACITL,ATP-Citrate lyase,atp_c + cit_c + coa_c <-> accoa_c + adp_c + oaa_c + pi_c,2.3.3.8; 4.1.3.6
BCOALIG,Benzoate CoA ligase,atp_c + bz_c + coa_c + 4.0 h_c <-> amp_c + benzcoa_c + ppi_c,6.2.1.25
BCOALIG2,4-hydroxybenzoate--coenzyme A ligase,4hbz_c + atp_c + coa_c <-> 4hbzcoa_c + amp_c + ppi_c,6.2.1.27
BUTKr,Butyrate kinase,atp_c + but_c <-> adp_c + butpi_c,2.7.2.7
BZSCT,Benzylsuccinate CoA-transferase,bzsucc_c + succoa_c <-> bzsuccoa_c + succ_c,2.8.3.15
CSPMDDC,Carboxynorspermidine decarboxylase,cspmd_c + h_c <-> co2_c + spmd_c,4.1.1; 4.1.1.96
CSPMDDH,Carboxyspermidine dehydrogenase,aspsa_c + h_c + nadph_c + ptrc_c <-> cspmd_c + h2o_c + nadp_c,1.5.1.43
FDH5r2pp,Formate Dehydrogenase (menaquinone-8) (periplasm) 2 protons,3.0 h_c + mqn8_c + for_p <-> mql8_c + co2_p + 2.0 h_p,1.2.2.1
FUTH,Futalosine hydrolase,fut_c + h2o_c <-> dhxfut_c + hxan_c,3.2.2.26
GHBDHy,Gamma-hydroxybutyrate dehydrogenase (NADPH),h_c + nadph_c + sucsal_c <-> ghb_c + nadp_c,1.1.1.-; 1.1.1.
HKtpp,H+/K+ gastric/non-gastric P-ATPase and ABC ATPase (periplasm),atp_c + h2o_c + k_p <-> adp_c + k_c + pi_c + h_p,3.6.3.10; 3.6.3.12
IBTMr,Isobutyryl-CoA mutase,btcoa_c <-> ibcoa_c,5.4.99.13
MCSNAH,5-Methylcytosine aminohydrolase,5mcsn_c + h_c + h2o_c <-> nh4_c + thym_c,3.5.4.1
N2OR,Nitrous oxide reductase (nadh),h_c + n2o_c + nadh_c <-> h2o_c + n2_c + nad_c,1.7.99.6
NAD_H2,NAD-linked hydrogenase,h_c + nadh_c <-> h2_c + nad_c,1.12.1.2; 1.12.1.5
OCHCCH,6-oxo-cyclohex-1-ene-carbonyl-CoA hydrolase,6occhcoa_c + 4.0 h_c + 2.0 h2o_c <-> 3hpimcoa_c,3.7.1.21
PACCOAL2,Phenylacetate-CoA ligase (hydroxyphenylacetate),4hphac_c + atp_c + coa_c <-> amp_c + hphaccoa_c + ppi_c,6.2.1.-
PHEPC,Phenylphosphate carboxylase,co2_c + h2o_c + pphos_c <-> 4hbz_c + h_c + pi_c,6.4.1.-
PICH,Phenylitaconyl-CoA hydratase,h2o_c + phitcoa_c <-> hmpscoa_c,4.2.1.-
PPA_1pp,Inorganic diphosphatase (one proton translocation) (periplasm),h2o_c + ppi_c <-> 2.0 pi_c + h_p,3.6.1.1
SUCOAACTr,Succinyl-CoA:acetate CoA transferase,ac_c + succoa_c <-> accoa_c + succ_c,2.8.3.18
UDPGLDC,UDP-D-glucuronate decarboxylase,h_c + udpglcur_c <-> co2_c + udpxyl_c,4.1.1.35
VACOAI,Vinylacetyl-CoA Delta-isomerase,vaccoa_c <-> b2coa_c,5.3.3.3
ALDD20x,"Aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",nad_c + h2o_c + id3acald_c <-> 2.0 h_c + nadh_c + ind3ac_c,1.2.1.3
CYSTA,Cysteine transaminase,akg_c + cys__L_c <-> glu__L_c + mercppyr_c,2.6.1.1; 2.6.1.3
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),h_c + nadph_c + 13dpg_c <-> nadp_c + pi_c + g3p_c,1.2.1.13; 1.2.1.59
GMPS,GMP synthase,atp_c + nh4_c + xmp_c <-> 2.0 h_c + ppi_c + amp_c + gmp_c,6.3.5.2
GTHRDH_syn,Glutathione hydralase (periplasmic),h2o_c + gthrd_c <-> glu__L_c + cgly_c,3.4.19; 3.4.19.13
MPOMMM,"Magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH oxygen oxidoreductase (hydroxylating)",h_c + o2_c + nadph_c + hmppp9_c <-> 2.0 h2o_c + nadp_c + omppp9_c,1.14.13.81
MPOMOR,Magnesium-protoporphyrin-IX 13-monomethyl ester NADPH oxygen oxidoreductase (hydroxylating),h_c + o2_c + nadph_c + omppp9_c <-> 2.0 h2o_c + nadp_c + dvpchlld_c,1.14.13.81
NDPK10,Nucleoside-diphosphate kinase (ATP dIDP),atp_c + didp_c <-> adp_c + ditp_c,2.7.4.6
PHYTES,Geranylgeranyl-diphosphate geranylgeranyl-diphosphate geranylgeranyltransferase,2.0 ggdp_c <-> ppi_c + prephytedp_c,2.5.1.32; 2.5.1.99
PRUK,Phosphoribulokinase,atp_c + ru5p__D_c <-> adp_c + h_c + rb15bp_c,2.7.1.19
PYK4,Pyruvate kinase(4),h_c + cdp_c + pep_c <-> pyr_c + ctp_c,2.7.1.40
PYK5,Pyruvate kinase(5),h_c + pep_c + idp_c <-> pyr_c + itp_c,2.7.1.40
SBP,Sedoheptulose-bisphosphatase,h2o_c + s17bp_c <-> pi_c + s7p_c,3.1.3.11; 3.1.3.37
SULR_syn,Ferredoxin-sulfite reductase,8.0 h_c + 6.0 fdxrd_c + so3_c <-> 3.0 h2o_c + 6.0 fdxo_2_2_c + h2s_c,1.8.7.1
TOCOPHOM1,Tocopherol O-methyltransferase,amet_c + gtocophe_c <-> h_c + ahcys_c + avite1_c,2.1.1.95
TOCOPHOM2,Tocopherol O-methyltransferase(2),amet_c + dtocophe_c <-> h_c + ahcys_c + bvite_c,2.1.1.95
TOCOPHS1,Tocopherol cyclase (g),23dmphol_c <-> gtocophe_c,5.5.1.24
TOCOPHS2,Tocopherol cyclase (d),2m6phol_c <-> dtocophe_c,5.5.1.24
GGDPR,Geranylgeranyl diphosphate reductase,3.0 h_c + 3.0 nadph_c + ggdp_c <-> 3.0 nadp_c + phdp_c,1.3.1.83
CU2abcu_syn,Copper (Cu+2) ABC transporter (periplasm),atp_c + h2o_c + cu2_c <-> adp_c + h_c + pi_c + cu2_u,3.6.3; 3.6.3.4
SPP,Sucrose-phosphate phosphatase,h2o_c + suc6p_c <-> pi_c + sucr_c,3.1.3.24
GGPS,Glucosylglycerol-phosphate synthase,glyc3p_c + adpglc_c <-> adp_c + h_c + glcglycp_c,2.4.1.213
SQLC2,Squalene mutase (cyclizing),h2o_c + sql_c <-> dpterol_c,4.2.1.129
EX_ha_e,Hyaluronan exchange,ha_e <-> ,3.2.1.35
1PPDCRp,"Delta1-piperideine-2-carboxylate reductase, perixosomal",h_x + 1pipdn2c_x + nadh_x <-> nad_x + Lpipecol_x,1.5.1.1; 1.5.1.21
2AMACHYD,2-Aminoacrylate hydrolysis,2amac_c + h2o_c <-> pyr_c + nh4_c,4.3.1.17
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),nad_m + 2oxoadp_m + coa_m <-> co2_m + nadh_m + glutcoa_m,1.2.1.52; 1.2.4.2; 1.8.1.4; 2.3.1.61
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",34dhpha_c + amet_c <-> homoval_c + h_c + ahcys_c,2.1.1.6
34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",h2o_c + 34dhmald_c + nad_c <-> 34dhoxmand_c + nadh_c + 2.0 h_c,1.2.1.5
34DHXMANDACOX_NADP,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",h2o_c + 34dhmald_c + nadp_c <-> nadph_c + 34dhoxmand_c + 2.0 h_c,1.2.1.5
3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",b2coa_m + h2o_m <-> 3hbcoa__R_m,4.2.1.55
3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",3hibutcoa_m + h2o_m <-> h_m + coa_m + 3hmp_m,3.1.2.4
3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,hLkynr_c + akg_c <-> 42A3HP24DB_c + glu__L_c,2.6.1.7
3HPCOAHYD,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + h2o_c <-> h_c + 3hpp_c + coa_c,3.1.2.4
3HPPD,3-hydroxypropionate dehydrogenase,nad_c + 3hpp_c <-> nadh_c + msa_c + h_c,1.1.1.59
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),o2_c + 3hxkynam_c <-> nh4_c + h2o2_c + 48dhoxquin_c,1.4.3.4
3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,3mox4hpac_c + nad_c + h2o_c <-> homoval_c + nadh_c + 2.0 h_c,1.2.1.5
3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,h2o_c + nad_c + 3m4hpga_c <-> 3mox4hoxm_c + nadh_c + 2.0 h_c,1.2.1.5
3NTD7l,"3'-nucleotidase (AMP), lysosome",3amp_l + h2o_l <-> pi_l + adn_l,3.1.3.6
3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",h_m + 3sala_m + akg_m <-> 3snpyr_m + glu__L_m,2.6.1.1
3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",3snpyr_m + h2o_m <-> so3_m + pyr_m + h_m,3.13.1
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",h2o_c + o2_c + nrpphr_c <-> 34dhmald_c + nh4_c + h2o2_c,1.4.3.4
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",dopa_c + h2o_c + o2_c <-> h2o2_c + nh4_c + 34dhpac_c,1.4.3.21; 1.4.3.4; 1.4.9.2; 1.4.99.4
4HOXPACDOX_NADP,4HOXPACDOX LPAREN NADP RPAREN ,h2o_c + 4hoxpacd_c + nadp_c <-> 4hphac_c + nadph_c + 2.0 h_c,1.2.1.5
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),h2o_c + srtn_c + o2_c <-> h2o2_c + 5hoxindact_c + nh4_c,1.4.3.21; 1.4.3.22; 1.4.3.4
5HXKYNDCL,5-Hydroxykynurenamine decarboxy-lyase,h_c + 5hxkyn_c <-> 5hxkynam_c + co2_c,4.1.1.28
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",nad_m + L2aadp6sa_m + h2o_m <-> 2.0 h_m + nadh_m + L2aadp_m,1.2.1.31
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",akg_m + 4abut_m <-> sucsal_m + glu__L_m,2.6.1.19
ACACT10m,Acetyl-CoA C-acyltransferase,coa_m + 2maacoa_m <-> ppcoa_m + accoa_m,2.3.1.16; 2.3.1.9
ACACT1x,Acetyl-CoA:acetyl-CoA C-acetyltransferase,2.0 accoa_x <-> aacoa_x + coa_x,2.3.1.9
ACGALK,N-acetylgalactosamine kinase,atp_c + acgal_c <-> h_c + acgal1p_c + adp_c,2.7.1.157; 2.7.1.162
ACGPID,N-acetylglucosaminylphosphatidylinositol deacetylase,h2o_c + acgpail_hs_c <-> ac_c + gpail_hs_c,3.5.1.89
ACNAM9PL,N-Acetylneuraminate 9-phosphate pyruvate-lyase (pyruvate-phosphorylating),pep_c + acmanap_c + h2o_c <-> acnamp_c + pi_c,2.5.1.57
ACNAMPH,N-Acetylneuraminate 9-phosphate phosphohydrolase,acnamp_c + h2o_c <-> pi_c + acnam_c,3.1.3.29
ACOAD9m,"2-methylacyl-coa dehydrogenase, 2-Methylprop-2-enoyl-CoA forming",ibcoa_m + fad_m <-> fadh2_m + 2mp2coa_m,1.3.8; 1.3.99.3
ADAe,"Adenosine deaminase, extracellular",adn_e + h_e + h2o_e <-> nh4_e + ins_e,3.5.4.4
ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial",h_m + acac_m <-> acetone_m + co2_m,4.1.1.4
ADPRDPm,ADPribose diphosphatase (mitochondrial),adprib_m + h2o_m <-> r5p_m + 2.0 h_m + amp_m,3.6.1.13
AGMTm,Agmatinase (m),h2o_m + agm_m <-> urea_m + ptrc_m,3.5.3.11
AKGDm,2-oxoglutarate dehydrogenase,akg_m + coa_m + nad_m <-> co2_m + succoa_m + nadh_m,1.2.1.52; 1.2.4.2; 1.8.1.4; 2.3.1.61
AKR1C1,"Aldo-keto reductase family 1, member C1 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",nadph_c + prgstrn_c + h_c <-> aprgstrn_c + nadp_c,1.1.1.149
AKR1C41,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",nadh_c + xol7ah_c + h_c <-> xol7ah2_c + nad_c,1.1.1.50
AKR1C42,"Aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",nadh_c + xoldioloneh_c + h_c <-> xoltriol_c + nad_c,1.1.1.50
AKR1D,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",nadph_c + xol7aone_c + h_c <-> xol7ah_c + nadp_c,1.3.99.6
AKR1D2,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",nadph_c + xoldiolone_c + h_c <-> xoldioloneh_c + nadp_c,1.3.99.6
ALOX12R,Arachidonate 12-lipoxygenase R,o2_c + arachd_c <-> 12RHPET_c,1.13.11.-
ALR,Aldose reductase,mthgxl_c + nadp_c + h2o_c <-> nadph_c + pyr_c + 2.0 h_c,1.2.1.19; 1.2.1.23; 1.2.1.49
AMPTASECGe,Alanyl aminopeptidase (cys-gly) (e),h2o_e + cgly_e <-> gly_e + cys__L_e,3.4.11.1; 3.4.11.2; 3.4.11.23; 3.4.13.-; 3.4.13.18
AOBUTDsm,"L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous)",2aobut_m + h_m <-> aact_m + co2_m,1.1.1.381
AP4AH1,"Ap4A hydrolase, asymmetrically",h2o_c + ap4a_c <-> amp_c + 2.0 h_c + atp_c,3.6.1.17; 3.6.1.61
ARGNm,Arginase (m),arg__L_m + h2o_m <-> urea_m + orn_m,3.5.3.1
ATPH1e,ATP diphosphohydrolase,2.0 h2o_e + atp_e <-> amp_e + 2.0 h_e + 2.0 pi_e,3.6.1.5
ATPasel,"V-type ATPase, H+ transporting, lysosomal",h2o_c + atp_c + 3.0 h_c <-> adp_c + pi_c + 4.0 h_l,3.6.3.14
ATPtm,"ADP/ATP transporter, mitochondrial",adp_c + atp_m <-> adp_m + atp_c,2.7.4.6
BAAT1x,Bile acid Coenzyme A: amino acid N-acyltransferase,gly_x + cholcoa_x <-> coa_x + gchola_x,2.3.1.65
BAAT2x,Bile acid Coenzyme A: amino acid N-acyltransferase,cholcoa_x + taur_x <-> coa_x + tchola_x,2.3.1.65
BAAT3x,Bile acid Coenzyme A: amino acid N-acyltransferase,gly_x + dgcholcoa_x <-> coa_x + dgchol_x,2.3.1.65
BAAT4x,Bile acid Coenzyme A: amino acid N-acyltransferase,gly_x + dcholcoa_x <-> coa_x + gdchola_x,2.3.1.65
BACCLm,"Biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial",btn_m + h_m + atp_m <-> ppi_m + btamp_m,6.2.1.11; 6.3.4.10; 6.3.4.11; 6.3.4.15; 6.3.4.9
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",nad_m + bhb_m <-> h_m + acac_m + nadh_m,1.1.1.30
BETALDHxm,"Betaine-aldehyde dehydrogenase, mitochondrial",betald_m + nad_m + h2o_m <-> nadh_m + 2.0 h_m + glyb_m,1.2.1.8
BTND1,Biotinidase (biotin),h2o_c + biocyt_c <-> lys__L_c + btn_c,3.5.1.12
BTND1n,"Biotinidase (biotin), nuclear",biocyt_n + h2o_n <-> lys__L_n + btn_n,3.5.1.12
C160CPT1,Carnitine O-palmitoyltransferase,pmtcoa_c + crn_c <-> pmtcrn_c + coa_c,2.3.1.21
C160CPT2,C160 transport into the mitochondria,coa_m + pmtcrn_m <-> crn_m + pmtcoa_m,2.3.1.21
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),4mzym_int1_r + nad_r <-> co2_r + 4mzym_int2_r + h_r + nadh_r,5.3.3.1
CAT2p,"Catalase A, peroxisomal (ethanol)",h2o2_x + etoh_x <-> acald_x + 2.0 h2o_x,1.11.1.6
CBLATm,"Cob(I)alamin adenosyltransferase, mitochondrial",h_m + atp_m + cbl1_m <-> pppi_m + adocbl_m,2.5.1.17
CBR2,Carbonyl reductase [NADPH] 1,prostge2_c + nadph_c + h_c <-> prostgf2_c + nadp_c,1.1.1.189
CHAT,Choline O-acetyltransferase,accoa_c + chol_c <-> coa_c + ach_c,2.3.1.6
CHATn,Choline O-acetyltransferase,accoa_n + chol_n <-> coa_n + ach_n,2.3.1.6
CHOLD2m,"Choline dehydrogenase (FAD acceptor), mitochondrial",fad_m + chol_m <-> betald_m + fadh2_m,1.1.99.1
CHSTEROLSULT,Steroid sulfotransferase,chsterol_c + paps_c <-> pap_c + chsterols_c + h_c,2.8.2.2
CITMCOAHm,"L-Citramalyl-CoA hydro-lyase, mitochondrial",h2o_m + itaccoa_m <-> citmcoa__L_m,4.2.1.56
CITMCOALm,L-Citramalyl-CoA pyruvate-lyase,citmcoa__L_m <-> pyr_m + accoa_m,4.1.3.25
CK,ATP Creatine kinase,creat_m + atp_m <-> adp_m + pcreat_m,2.7.3.2
COKECBESr,Carboxylesterase (cocaine) (er),h2o_r + coke_r <-> h_r + egme_r + bz_r,3.1.1.84
CORE3GTg,"Core 3 beta-GlcNAc-transferase, Golgi apparatus",uacgam_g + Tn_antigen_g <-> core3_g + udp_g + h_g,2.4.1.147
CSNATer,"Carnitine O-acetyltransferase, endolasmic reticulum",accoa_r + crn_r <-> acrn_r + coa_r,2.3.1.7
CYOOm2,"Cytochromecoxidase,mitochondrialComplexIV",8.0 h_m + o2_m + 4.0 focytC_m <-> 4.0 ficytC_m + 2.0 h2o_m + 4.0 h_c,1.9.3.1
CYSAMO,Cysteamine oxygenase,cysam_c + o2_c <-> 2.0 h_c + hyptaur_c,1.13.11.19
CYSGLTH,Glutathione:cystine oxidoreductase,2.0 gthrd_c + cysi__L_c <-> gthox_c + 2.0 cys__L_c,1.8.4.4
CYSLYSL,L-Cystine Lysteine-lyase (deaminating),cysi__L_c + h2o_c <-> nh4_c + pyr_c + thcys_c,4.4.1.1; 4.4.1.8; 4.4.1.
CYSO,Cysteine oxidase,o2_c + cys__L_c <-> 3sala_c + 2.0 h_c,1.13.11.20
CYTDK1,ATP:cytidine 5'-phosphotransferase,cytd_c + atp_c <-> cmp_c + h_c + adp_c,2.7.1.213; 2.7.1.48
CYTDK2m,"Cytidine kinase (ATP), mitochondrial",cytd_m + atp_m <-> cmp_m + h_m + adp_m,2.7.1.213; 2.7.1.48
CYTDn,"Cytidine deaminase, nuclear",cytd_n + h_n + h2o_n <-> nh4_n + uri_n,3.5.4.5
CYTK1m,"Cytidylate kinase (CMP),mitochondrial",cmp_m + atp_m <-> cdp_m + adp_m,2.7.4.14; 2.7.4.25
CYTK1n,"Cytidylate kinase (CMP),nuclear",cmp_n + atp_n <-> cdp_n + adp_n,2.7.4.14; 2.7.4.25
D3AIBTm,"D-3-Amino-isobutanoate:pyruvate aminotransferase, mitochondrial",pyr_m + 3aib__D_m <-> 2mop_m + ala__L_m,2.6.1.40
DASCBH,L-Dehydroascorbate lactonohydrolase,h2o_c + dhdascb_c <-> 23doguln_c + h_c,3.1.1.17
DCK1m,"Deoxycytidine kinase, mitochondrial (ATP)",dcyt_m + atp_m <-> dcmp_m + adp_m + h_m,2.7.1.145; 2.7.1.213; 2.7.1.74
DCK1n,"Deoxycytidine kinase, nuclear (ATP)",dcyt_n + atp_n <-> h_n + adp_n + dcmp_n,2.7.1.145; 2.7.1.213; 2.7.1.74
DCT,Dopachrome tautomerase,L_dpchrm_c <-> 56dihindlcrbxlt_c,5.3.3.12
DGULND,Dehydro-L-gulonate decarboxylase,3dhguln_c + h_c <-> co2_c + xylu__L_c,4.1.1.34
DHCR71r,7-dehydrocholesterol reductase,ddsmsterol_r + nadph_r + h_r <-> nadp_r + dsmsterol_r,1.3.1.21
DMATTx,Dimethylallyltranstransferase,dmpp_x + ipdp_x <-> grdp_x + ppi_x,2.5.1.1
DNAMTn,"DNA (cytosine-5-)-methyltransferase, nucleus",dna_n + amet_n <-> h_n + ahcys_n + dna5mtc_n,2.1.1.37
DOGULND1,"2,3-dioxo-L-gulonate decarboxylase (L-lyxonate-forming)",23doguln_c + h2o_c <-> lyxnt_c + co2_c,4.1.1.-
DOGULND2,"2,3-dioxo-L-gulonate decarboxylase (L-xylonate-forming)",23doguln_c + h2o_c <-> xylnt_c + co2_c,4.1.1.-
DOPABMO,Dopamine beta-monooxygenase,dopa_c + ascb__L_c + o2_c <-> h2o_c + nrpphr_c + dhdascb_c,1.14.17.1
DOPAMT,Dopamine:amet O-methyltransferase,dopa_c + amet_c <-> 3moxtyr_c + h_c + ahcys_c,2.1.1.6
DPHMBDCm,3-Decaprenyl-4-hydroxy-5-methoxybenzoate  decarboxylation,3dpdhb_me_m + h_m <-> 2dp6mep_m + co2_m,4.1.1
DPROOp,"D-proline oxidase, perixosomal",o2_x + pro__D_x <-> 1p2cbxl_x + h_x + h2o2_x,1.4.3.3
DURAD2,Dihydrothymin dehydrogenase (NADP),56dthm_c + nadp_c <-> nadph_c + thym_c + h_c,1.3.1.2
EBP1r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",zymst_r <-> chlstol_r,5.3.3.5
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",zymstnl_r <-> lthstrl_r,5.3.3.5
ECOAH12m,"Enoyl-coa hydratase, 3-Hydroxyisobutyryl-CoA forming",2mp2coa_m + h2o_m <-> 3hibutcoa_m,4.2.1.17
ECOAH9m,"Enoyl-coa hydratase, 3-Hydroxy-2-methylbutyryl-CoA forming",2mb2coa_m + h2o_m <-> 3hmbcoa_m,4.2.1.17
ESTSULT,Estrogen sulfotransferase,paps_c + estrone_c <-> pap_c + h_c + estrones_c,2.8.2.4
FACOAL1821,Linoleic acid:CoA ligase (AMP-forming),atp_c + coa_c + lnlc_c <-> lnlccoa_c + ppi_c + amp_c,6.2.1.3
FACOAL206,Fatty-acid--CoA ligase,atp_c + coa_c + phyt_c <-> phytcoa_c + amp_c + ppi_c,6.2.1.24
FAH3,Fatty acid omega-hydroxylase,nadph_c + hdca_c + o2_c + h_c <-> h2o_c + nadp_c + whhdca_c,1.14.13.
FK,Fucokinase,fuc__L_c + atp_c <-> fuc1p__L_c + h_c + adp_c,2.7.1.52
FT,"Trans,trans,cis-geranylgeranyl diphosphate synthase",frdp_c + ipdp_c <-> ppi_c + ttc_ggdp_c,2.5.1.-
FTCD,Formimidoyltransferase cyclodeaminase reversible,5forthf_c + 2.0 h_c <-> nh4_c + methf_c,4.3.1.4
FTHFDH,10-formyltetrahydrofolate:NADP+ oxidoreductase,h2o_c + 10fthf_c + nadp_c <-> nadph_c + co2_c + h_c + thf_c,1.5.1.6
G3PD2m,"Glycerol-3-phosphate dehydrogenase (FAD), mitochondrial",fad_m + glyc3p_c <-> dhap_c + fadh2_m,1.1.99.5
G6PDH1er,"Glucose-6-phosphate dehydrogenase, endoplasmic reticulum",nad_r + g6p_r <-> 6pgl_r + nadh_r + h_r,1.1.1.363; 1.1.1.388
G6PPer,"Glucose-6-phosphate phosphatase, edoplasmic reticular",g6p_r + h2o_r <-> glc__D_r + pi_r,3.1.3.58; 3.1.3.9
GAL3ST12,Galactosylceramide sulfotransferase,paps_g + digalside_hs_g <-> pap_g + digalsgalside_hs_g + h_g,2.8.2.11
GALOR,D-Galactose:NADP+ 1-oxidoreductase,gal_c + nadph_c + h_c <-> nadp_c + galt_c,1.1.1.21
GCALDDm,"Glycolaldehyde dehydrogenase, mitochondrial",nad_m + h2o_m + gcald_m <-> nadh_m + 2.0 h_m + glyclt_m,1.2.1.21
GGT5r,Gamma-glutamyltransferase 5,h2o_r + leuktrC4_r <-> glu__L_r + leuktrD4_r,3.4.19.14
GGT6,Gamma-glutamyltransferase,leuktrE4_c + glu__L_c <-> leuktrF4_c + h2o_c,2.3.2.-
GHMT3m,"Glycine hydroxymethyltransferase, mitochondrial",3htmelys_m + h_m <-> gly_m + 4tmeabut_m,4.1.2.-
GLACO,D-Glucuronolactone:NAD+ oxidoreductase,2.0 h2o_c + glac_c + nad_c <-> nadh_c + 3.0 h_c + glcr_c,1.2.1.3
GLU5Km,Glutamate 5-kinase (m),glu__L_m + atp_m <-> glu5p_m + adp_m,2.7.2.11
GLUTCOADHm,Glutaryl-CoA dehydrogenase (mitochondria),fad_m + h_m + glutcoa_m <-> fadh2_m + co2_m + b2coa_m,1.3.8.6; 1.3.99.7
GLXO2p,"Glyoxylate oxidase, peroxisomal",o2_x + h2o_x + glx_x <-> oxa_x + h_x + h2o2_x,1.2.3.5
GLYAMDTRc,Glycine amidinotransferase (c),gly_c + arg__L_c <-> orn_c + gudac_c,2.1.4.1
GLYATm,Glycine C-acetyltransferase,gly_m + accoa_m <-> 2aobut_m + coa_m,2.3.1.29; 2.3.1.37
GLYCLTDym,"Glycolate dehydrogenase (NADP), mitochondrial",glx_m + nadph_m + h_m <-> nadp_m + glyclt_m,1.1.1.79
GLYKm,Glycerol kinase,glyc_m + atp_m <-> glyc3p_m + h_m + adp_m,2.7.1.30
GTHDH,Glutathione dehydrogenase (dehydroascorbate reductase),2.0 gthrd_c + dhdascb_c <-> gthox_c + ascb__L_c,1.8.5.1
GTHPe,Glutathione peroxidase,2.0 gthrd_e + h2o2_e <-> gthox_e + 2.0 h2o_e,1.11.1.9
GULN3D,L-gulonate 3-dehydrogenase,nad_c + guln__L_c <-> nadh_c + 3dhguln_c + h_c,1.1.1.45
GULNDer,"Gulonate dehydrogenase, endoplasmic reticulum",h_r + glcur_r + nadph_r <-> nadp_r + guln__L_r,1.1.1.19; 1.1.1.2
GluForTx,Formimidoyltransferase cyclodeaminase,thf_c + h_c + forglu_c <-> 5forthf_c + glu__L_c,2.1.2.5; 4.3.1.4
HACD1m,"3-Hydroxybutanoyl-CoA:NAD+ oxidoreductase, mitochondria",aacoa_m + nadh_m + h_m <-> nad_m + 3hbcoa_m,1.1.1.35
HBZOPT10m,Hydroxybenzoate Decaprenyltransferase,decdp_m + 4hbz_m <-> ppi_m + 3dphb_m,2.5.1.39
HEX10,Hexokinase (D-glucosamine:ATP),gam_c + atp_c <-> gam6p_c + h_c + adp_c,2.7.1.1; 2.7.1.8
