"Abbreviation"	"Reaction"	"Description"	"Reaction_desc"
"R01515"	"C00236[c] + C00001[c] <=> C00197[c] + C00009[c]"	"3-phospho-D-glyceroyl phosphate phosphohydrolase"	"3-Phospho-D-glyceroyl phosphate + H2O <=> 3-Phospho-D-glycerate + Orthophosphate"
"R11123"	"C21127[c] <=> C21128[c]"	"X"	"Holyrine A <=> O-Demethyl-N-demethyl-staurosporine"
"R13287"	"C00811[c] + C00001[c] <=> C22890[c]"	"X"	"4-Coumarate + H2O <=> 3-Hydroxy-3-(4-hydroxyphenyl)propanoate"
"R03605"	"C00029[c] + C02325[c] <=> C00015[c] + C01533[c]"	"UDPglucose:coniferyl-alcohol 4'-beta-D-glucosyltransferase"	"UDP-glucose + Sinapyl alcohol <=> UDP + Syringin"
"R13307"	"C22906[c] + C00001[c] <=> C00719[c] + C00010[c]"	"betaine-CoA hydrolase"	"Betaine-CoA + H2O <=> Betaine + CoA"
"R13272"	"C22871[c] <=> C22872[c] + C00001[c]"	"ultra-long-chain-di-unsaturated-(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein]-forming)"	"Ultra-long-chain di-unsaturated (3R)-3-hydroxyacyl-[acyl-carrier protein] <=> Ultra-long-chain di-unsaturated trans-2-enoyl-[acyl-carrier protein] + H2O"
"R01838"	"C00535[c] + C00006[c] <=> C00280[c] + C00005[c] + C00080[c]"	"testosterone:NADP+ 17-oxidoreductase"	"Testosterone + NADP+ <=> Androstenedione + NADPH + H+"
"R11800"	"C00019[c] + C21674[c] <=> C00021[c] + C21675[c]"	"S-adenosyl-L-methionine:N,N-dimethylornithine-lipid N-methyltransferase"	"S-Adenosyl-L-methionine + N,N-Dimethylornithine lipid <=> S-Adenosyl-L-homocysteine + N,N,N-Trimethylornithine lipid"
"R03762"	"C05921[c] + C00010[c] <=> C00020[c] + C01894[c]"	"biotin:CoA ligase (AMP-forming);"	"Biotinyl-5'-AMP + CoA <=> AMP + Biotinyl-CoA"
"R08008"	"C16407[c] + C00007[c] <=> C16409[c] + C00001[c]"	"2',4,4',6'-tetrahydroxychalcone 4'-O-glucoside:oxygen oxidoreductase"	"2',4,4',6'-Tetrahydroxychalcone 4'-O-glucoside + Oxygen <=> Aureusidin 6-O-glucoside + H2O"
"R06011"	"G10611 + G00108 <=> G10619 + G00176"	"X"	"G10611 + G00108 <=> G10619 + G00176"
"R05036"	"C05905[c] + C00042[c] + C00011[c] + 2 C00001[c] <=> C05906[c] + C00026[c] + C00007[c] + C00080[c]"	"leucocyanidin,2-oxoglutarate:oxygen oxidoreductase"	"Cyanidin + Succinate + CO2 + 2 H2O <=> Leucocyanidin + 2-Oxoglutarate + Oxygen + H+"
"R11881"	"4 C19610[c] + C00007[c] + 4 C00080[c] <=> 4 C19611[c] + 2 C00001[c]"	"X"	"4 Manganese(2+) + Oxygen + 4 H+ <=> 4 Manganese(3+) + 2 H2O"
"R05229"	"C03112[c] + C00042[c] + C00011[c] <=> C06565[c] + C00026[c] + C00007[c]"	"X"	"Deacetylcephalosporin C + Succinate + CO2 <=> Deacetoxycephalosporin C + 2-Oxoglutarate + Oxygen"
"R04117"	"C03012[c] + C00007[c] <=> C06204[c]"	"naphthalene-1,2-diol:oxygen oxidoreductase"	"Naphthalene-1,2-diol + Oxygen <=> 2-Hydroxychromene-2-carboxylate"
"R09666"	"C00096[c] + C00258[c] <=> C00035[c] + C11544[c]"	"GDP-mannose:D-glycerate 2-alpha-D-mannosyltransferase"	"GDP-mannose + D-Glycerate <=> GDP + 2-O-(alpha-D-Mannosyl)-D-glycerate"
"R03469"	"C00002[c] + C01277[c] <=> C00008[c] + C04637[c]"	"ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 5-phosphotransferase"	"ATP + 1-Phosphatidyl-1D-myo-inositol 4-phosphate <=> ADP + 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate"
"R04159"	"C03193[c] + C00045[c] <=> C00012[c] + C03363[c]"	"(5-L-glutamyl)-peptide:amino-acid 5-glutamyltransferase"	"(5-L-Glutamyl)-peptide + Amino acid <=> Peptide + 5-L-Glutamyl amino acid"
"R06725"	"C12440[c] <=> C06177[c]"	"X"	"Trachelanthamidine <=> Retronecine"
"R12105"	"C21905[c] + C00003[c] <=> C21906[c] + C00004[c] + C00080[c]"	"3-oxocholan-24-oyl-CoA Delta4-oxidoreductase"	"3-Oxocholan-24-oyl-CoA + NAD+ <=> 3-Oxochol-4-en-24-oyl-CoA + NADH + H+"
"R12140"	"C04672[c] + C00001[c] <=> C21923[c]"	"X"	"(9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid + H2O <=> 9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid"
"R08622"	"C17211[c] + C00151[c] <=> C17213[c] + C00161[c]"	"homomethionine:2-oxo-acid aminotransferase"	"2-Oxo-5-methylthiopentanoic acid + L-Amino acid <=> Homomethionine + 2-Oxo acid"
"R01658"	"C00235[c] + C00129[c] <=> C00013[c] + C00341[c]"	"dimethylallyl-diphosphate:isopentenyl-diphosphate dimethylallyltranstransferase"	"Dimethylallyl diphosphate + Isopentenyl diphosphate <=> Diphosphate + Geranyl diphosphate"
"R01261"	"C00041[c] + C00161[c] <=> C00022[c] + C00151[c]"	"L-alanine:2-oxo-acid aminotransferase"	"L-Alanine + 2-Oxo acid <=> Pyruvate + L-Amino acid"
"R08182"	"C03595[c] + C00001[c] <=> C00010[c] + C03242[c]"	"X"	"8,11,14-Eicosatrienoyl-CoA + H2O <=> CoA + Dihomo-gamma-linolenate"
"R09746"	"C16145[c] + C00016[c] <=> C19797[c] + C01352[c]"	"4,4'-diapophytoene:FAD oxidoreductase"	"4,4'-Diaponeurosporene + FAD <=> 4,4'-Diapolycopene + FADH2"
"R10769"	"C00002[c] + C20199[c] + C00010[c] <=> C00020[c] + C00013[c] + C20838[c]"	"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate:CoA ligase (AMP-forming)"	"ATP + 3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate + CoA <=> AMP + Diphosphate + 3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA"
"R08371"	"2 C06394[c] <=> C07667[c]"	"X"	"2 delta-Cadinene <=> Gossypol"
"R12781"	"C00002[c] + C00065[c] + C21097[c] <=> C00020[c] + C00013[c] + C22390[c]"	"L-serine:[L-seryl-carrier protein] ligase (AMP-forming)"	"ATP + L-Serine + Peptidyl-carrier protein <=> AMP + Diphosphate + L-Seryl-[peptidyl-carrier protein]"
"R06318"	"C11897[c] <=> C11899[c]"	"X"	"Taxa-4(20),11(12)-dien-5alpha,13alpha-diol <=> 10-Deacetyl-2-debenzoylbaccatin III"
"R12171"	"C16180[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C03595[c] + 2 C00996[c] + 2 C00001[c]"	"(11Z,14Z)-icosadienoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (8,9 cis-dehydrogenating)"	"(11Z,14Z)-Icosadienoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> 8,11,14-Eicosatrienoyl-CoA + 2 Ferricytochrome b5 + 2 H2O"
"R04959"	"C05752[c] + C00006[c] <=> C05751[c] + C00005[c] + C00080[c]"	"octanoyl-[acp]:NADP+ trans-2-oxidoreductase"	"Octanoyl-[acp] + NADP+ <=> trans-Oct-2-enoyl-[acp] + NADPH + H+"
"R09919"	"C21076[c] <=> C00280[c]"	"X"	"Delta4-Dafachronic acid <=> Androstenedione"
"R10188"	"C00203[c] + C20421[c] <=> C00015[c] + C20427[c]"	"UDP-N-acetyl-alpha-D-galactosamine:N,N'-diacetyl-alpha-D-bacillosaminyl-diphospho-tritrans,heptacis-undecaprenol 3-alpha-N-acetyl-D-galactosaminyltransferase"	"UDP-N-acetyl-D-galactosamine + N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol <=> UDP + N-Acetyl-D-galactosaminyl-alpha-(1->3)-N,N'-diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol"
"R11619"	"C00575[c] + C00001[c] <=> C00943[c] + C00014[c]"	"3',5'-cyclic AMP aminohydrolase"	"3',5'-Cyclic AMP + H2O <=> 3',5'-Cyclic IMP + Ammonia"
"R06109"	"G01967 + C00001[c] <=> G00546 + C00031[c]"	"X"	"G01967 + H2O <=> G00546 + D-Glucose"
"R09209"	"C07535[c] + C00004[c] + C00080[c] + C00007[c] <=> C18284[c] + C00003[c]"	"X"	"Benzo[a]pyrene + NADH + H+ + Oxygen <=> Benzo[a]pyrene-cis-11,12-dihydrodiol + NAD+"
"R08931"	"C18032[c] + C00025[c] <=> C18033[c] + C00026[c]"	"dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose:2-oxoglutarate aminotransferase"	"dTDP-4-oxo-2,3,6-trideoxy-D-glucose + L-Glutamate <=> dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose + 2-Oxoglutarate"
"R10232"	"C17325[c] + C00001[c] <=> C00868[c] + C00014[c]"	"tRNA(cytosine8) aminohydrolase"	"tRNA cytosine + H2O <=> tRNA uridine + Ammonia"
"R01940"	"C00322[c] + C15972[c] <=> C06157[c] + C00011[c]"	"2-oxoadipate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating)"	"2-Oxoadipate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine + CO2"
"R11319"	"C00068[c] + C00008[c] <=> C03028[c] + C00020[c]"	"ADP:thiamin-diphosphate phosphotransferase"	"Thiamin diphosphate + ADP <=> Thiamin triphosphate + AMP"
"R04729"	"C05232[c] <=> C05329[c]"	"(2S)-2-methylacyl-CoA 2-epimerase"	"(2S)-2-Methylacyl-CoA <=> (2R)-2-Methylacyl-CoA"
"R09347"	"C18682[c] <=> C18683[c]"	"X"	"11-Deoxylandomycinone <=> Landomycin H"
"R12846"	"C00187[c] + C03024[c] + C00007[c] <=> C22446[c] + C03161[c] + C00001[c]"	"X"	"Cholesterol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 22-Hydroxycholesterol + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R06790"	"C07086[c] <=> C00642[c]"	"X"	"Phenylacetic acid <=> 4-Hydroxyphenylacetate"
"R08312"	"C06868[c] + C00005[c] + C00080[c] + C00007[c] <=> C07496[c] + C00006[c] + C00001[c]"	"X"	"Carbamazepine + NADPH + H+ + Oxygen <=> Carbamazepine-10,11-epoxide + NADP+ + H2O"
"R08148"	"C16503[c] + C03024[c] + C00007[c] <=> C09694[c] + C03161[c] + C00001[c]"	"methyl (2E,6E)-farnesoate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase"	"Methyl farnesoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Juvenile hormone III + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R05888"	"C11813[c] <=> C09330[c]"	"X"	"Demethylalangiside <=> Alangiside"
"R04420"	"C04188[c] <=> C04582[c]"	"5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase"	"S-Methyl-5-thio-D-ribose 1-phosphate <=> S-Methyl-5-thio-D-ribulose 1-phosphate"
"R11652"	"C21538[c] + C00051[c] <=> C21539[c] + C00001[c]"	"X"	"1-aci-Nitro-omega-(methylthio)alkane + Glutathione <=> (E)-1-(Glutathione-S-yl)-omega-(methylthio)alkylhydroximate + H2O"
"R07529"	"C15887[c] + C00019[c] <=> C15888[c] + C00021[c]"	"S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase"	"3',4'-Dihydrorhodovibrin + S-Adenosyl-L-methionine <=> 3,4,3',4'-Tetrahydrospirilloxanthin + S-Adenosyl-L-homocysteine"
"R11680"	"C01277[c] + C00001[c] <=> C01194[c] + C00009[c]"	"X"	"1-Phosphatidyl-1D-myo-inositol 4-phosphate + H2O <=> 1-Phosphatidyl-D-myo-inositol + Orthophosphate"
"R06214"	"G10609 + C00137[c] <=> G10619 + G10488"	"X"	"G10609 + myo-Inositol <=> G10619 + G10488"
"R11896"	"C21751[c] + C00001[c] <=> C04242[c] + C00013[c]"	"5-fluorodeoxyuridine-triphosphate diphosphohydrolase"	"5-Fluorodeoxyuridine triphosphate + H2O <=> 5-Fluorodeoxyuridine monophosphate + Diphosphate"
"R11568"	"2 C19831[c] <=> C21473[c] + C00001[c]"	"X"	"2 (1R,6S)-6-Amino-5-oxocyclohex-2-ene-1-carboxylate <=> (1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate + H2O"
"R00986"	"C00251[c] + C00064[c] <=> C00108[c] + C00022[c] + C00025[c]"	"chorismate pyruvate-lyase (amino-accepting)"	"Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate"
"R02235"	"C00415[c] + C00003[c] <=> C00504[c] + C00004[c] + C00080[c]"	"dihydrofolate:NAD+ oxidoreductase"	"Dihydrofolate + NAD+ <=> Folate + NADH + H+"
"R01292"	"C01817[c] + 2 C00051[c] <=> 2 C00155[c] + C00127[c]"	"glutathione:homocystine oxidoreductase"	"L-Homocystine + 2 Glutathione <=> 2 L-Homocysteine + Glutathione disulfide"
"R06918"	"C14090[c] + C00003[c] + C00001[c] <=> C14091[c] + C00004[c] + C00080[c]"	"X"	"1-Naphthaldehyde + NAD+ + H2O <=> 1-Naphthoic acid + NADH + H+"
"R00973"	"C03030[c] <=> C00106[c] + C00011[c]"	"uracil-5-carboxylate carboxy-lyase (uracil-forming)"	"Uracil 5-carboxylate <=> Uracil + CO2"
"R12283"	"C00235[c] + C05432[c] + C00028[c] + C00001[c] <=> C22056[c] + C00030[c] + C00013[c]"	"dimethylallyl-diphosphate:all-trans-lycopene dimethylallyltransferase (hydrating, nonaflavuxanthin-forming)"	"Dimethylallyl diphosphate + Lycopene + Acceptor + H2O <=> Nonaflavuxanthin + Reduced acceptor + Diphosphate"
"R10431"	"C00019[c] + C00166[c] <=> C00021[c] + C20646[c]"	"S-adenosyl-L-methionine:2-oxo-3-phenylpropanoate C3-methyltransferase"	"S-Adenosyl-L-methionine + Phenylpyruvate <=> S-Adenosyl-L-homocysteine + (3S)-2-Oxo-3-phenylbutanoate"
"R08218"	"C00002[c] + C00065[c] + C16636[c] <=> C00020[c] + C00013[c] + C06481[c]"	"L-serine:tRNASec ligase (AMP-forming)"	"ATP + L-Serine + tRNA(Sec) <=> AMP + Diphosphate + L-Seryl-tRNA(Sec)"
"R02875"	"C00751[c] + C00001[c] <=> C06083[c]"	"squalene hydro-lyase (tetrahymanol forming)"	"Squalene + H2O <=> Tetrahymanol"
"R06398"	"C06099[c] + C00004[c] + C00007[c] + C00080[c] <=> C07271[c] + C00003[c] + C00001[c]"	"limonene 1,2-monooxygenase"	"(R)-Limonene + NADH + Oxygen + H+ <=> Limonene-1,2-epoxide + NAD+ + H2O"
"R09526"	"C00448[c] + C00001[c] <=> C09664[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (beta-eudesmol-forming)"	"trans,trans-Farnesyl diphosphate + H2O <=> beta-Eudesmol + Diphosphate"
"R09538"	"C00307[c] + C00001[c] <=> C00055[c] + C00588[c]"	"CDP-choline phosphohydrolase"	"CDP-choline + H2O <=> CMP + Choline phosphate"
"R03052"	"C00900[c] <=> C04181[c]"	"2-acetolactate methylmutase"	"2-Acetolactate <=> 3-Hydroxy-3-methyl-2-oxobutanoic acid"
"R06443"	"C06620[c] <=> C11918[c] + C00363[c]"	"X"	"dTDP-3,4-dioxo-2,6-dideoxy-D-glucose <=> Maltol + dTDP"
"R09516"	"C01561[c] + 2 C00662[c] + 2 C00080[c] + C00007[c] <=> C07712[c] + 2 C00667[c] + C00001[c]"	"calcidiol,adrenodoxin:oxygen oxidoreductase (24-hydroxylating)"	"Calcidiol + 2 Reduced adrenal ferredoxin + 2 H+ + Oxygen <=> Secalciferol + 2 Oxidized adrenal ferredoxin + H2O"
"R08603"	"C04287[c] + C00001[c] <=> C16737[c]"	"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)"	"3D-3,5/4-Trihydroxycyclohexane-1,2-dione + H2O <=> 5-Deoxy-D-glucuronate"
"R12137"	"C17055[c] <=> C17062[c]"	"X"	"Picrocrocin <=> Safranal"
"R00251"	"C00002[c] + C01879[c] + 2 C00001[c] <=> C00008[c] + C00009[c] + C00025[c]"	"5-oxo-L-proline amidohydrolase (ATP-hydrolysing)"	"ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate"
"R07530"	"C05433[c] + 2 C00138[c] + C00080[c] + C00007[c] <=> C08590[c] + 2 C00139[c] + C00001[c]"	"alpha-carotene,reduced ferredoxin [iron-sulfur] cluster:oxygen 3-oxidoreductase"	"alpha-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeinoxanthin + 2 Oxidized ferredoxin + H2O"
"R06762"	"C12456[c] <=> C12459[c]"	"X"	"3-Dimethylallyl-4-hydroxyphenylpyruvate <=> 3-Dimethylallyl-4-hydroxybenzaldehyde"
"R00214"	"C00149[c] + C00003[c] <=> C00022[c] + C00011[c] + C00004[c] + C00080[c]"	"(S)-malate:NAD+ oxidoreductase (decarboxylating)"	"(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+"
"R06451"	"C12002[c] + C11912[c] <=> C12003[c] + C00363[c]"	"dTDP-6-deoxy-alpha-D-allose:5-O-beta-D-mycaminosyltylonolide 23-O-6-deoxy-beta-D-allosyltransferase"	"5-O-beta-D-Mycaminosyltylonolide + dTDP-6-deoxy-D-allose <=> Demethyllactenocin + dTDP"
"R01863"	"C00294[c] + C00009[c] <=> C00262[c] + C00620[c]"	"inosine:phosphate alpha-D-ribosyltransferase"	"Inosine + Orthophosphate <=> Hypoxanthine + alpha-D-Ribose 1-phosphate"
"R03060"	"C02508[c] + C00001[c] <=> C00911[c] + C00009[c]"	"3'-ribonucleotide phosphohydrolase"	"3'-Ribonucleotide + H2O <=> Ribonucleoside + Orthophosphate"
"R04104"	"C00401[c] <=> C01490[c]"	"chondroitin-D-glucuronate 5-epimerase"	"Chondroitin <=> Dermatan"
"R12483"	"C22200[c] + C00003[c] <=> C22201[c] + C00004[c] + C00080[c]"	"nepetalactol:NAD+ 1-oxidoreductase"	"(+)-cis,cis-Nepetalactol + NAD+ <=> (+)-cis,cis-Nepetalactone + NADH + H+"
"R00686"	"C00002[c] + C00079[c] + C00001[c] <=> C00020[c] + C00013[c] + C02265[c]"	"L-phenylalanine racemase (ATP-hydrolysing)"	"ATP + L-Phenylalanine + H2O <=> AMP + Diphosphate + D-Phenylalanine"
"R07314"	"C00640[c] <=> C05067[c] + C00001[c]"	"(3S)-3-hydroxyacyl-CoA hydro-lyase"	"(3S)-3-Hydroxyacyl-CoA <=> (3E)-3-Enoyl-CoA + H2O"
"R03796"	"C02193[c] + C00207[c] <=> C00022[c] + C01995[c]"	"pyruvate-oxime:acetone oximinotransferase"	"Pyruvate oxime + Acetone <=> Pyruvate + Acetone oxime"
"R04817"	"C05451[c] + C00006[c] <=> C05455[c] + C00005[c] + C00080[c]"	"7alpha-hydroxy-5beta-cholestan-3-one:NADP+ delta4-oxidoreductase"	"7alpha-Hydroxy-5beta-cholestan-3-one + NADP+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADPH + H+"
"R08454"	"C16707[c] <=> C16713[c]"	"X"	"(S)-Autumnaline <=> Floramultine"
"R11706"	"C00002[c] + C21612[c] <=> C00008[c] + C21611[c]"	"ATP:3-dehydro-L-erythronate 4-phosphotransferase"	"ATP + 3-Dehydro-L-erythronate <=> ADP + 3-Dehydro-4-phospho-L-erythronate"
"R01807"	"C00024[c] + C00270[c] <=> C00010[c] + C04016[c]"	"X"	"Acetyl-CoA + N-Acetylneuraminate <=> CoA + N-Acetyl-7-O-acetylneuraminate"
"R06629"	"C12320[c] + C00005[c] + C00080[c] <=> C12321[c] + C00006[c]"	"X"	"dTDP-L-4-oxovancosamine + NADPH + H+ <=> dTDP-L-epivancosamine + NADP+"
"R11972"	"C02199[c] + C21816[c] <=> C00015[c] + C21817[c]"	"UDP-beta-L-rhamnose:rhamnogalacturonan I 4-rhamnosyltransferase (configuration-inverting)"	"UDP-L-rhamnose + alpha-D-Galacturonosyl-[(1->2)-alpha-L-rhamnosyl-(1->4)-alpha-D-galacturonosyl]n <=> UDP + [(1->2)-alpha-L-Rhamnosyl-(1->4)-alpha-D-galacturonosyl]n"
"R04602"	"C04798[c] + C00007[c] <=> C05155[c]"	"5-amino-4-chloro-2-(2',3'-dihydroxyphenyl)-3(2H)-pyridazinone 1',2'-oxidoreductase (decyclizing)"	"5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone + Oxygen <=> 5-Amino-4-chloro-2-(5-hydroxymuconoyl)-3(2H)-pyridazinone"
"R02418"	"C04090[c] + C00001[c] <=> C00496[c] + C00145[c]"	"ubiquitin-C-terminal-thiolester hydrolase"	"Ubiquitin C-terminal thiolester + H2O <=> Ubiquitin + Thiol"
"R11381"	"C01126[c] + C00007[c] <=> C03461[c] + C00027[c]"	"(2E,6E)-farnesol:oxygen oxidoreductase"	"(2E,6E)-Farnesol + Oxygen <=> 2-trans,6-trans-Farnesal + Hydrogen peroxide"
"R06763"	"C12459[c] <=> C12458[c]"	"X"	"3-Dimethylallyl-4-hydroxybenzaldehyde <=> 3-Dimethylallyl-4-hydroxybenzoate"
"R10955"	"C03319[c] + C12379[c] <=> C00363[c] + C20974[c]"	"dTDP-beta-L-rhamnose:8-demethyltetracenomycin-C alpha-L-rhamnosyltransferase"	"dTDP-L-rhamnose + 8-Demethyltetracenomycin C <=> dTDP + 8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C"
"R08827"	"C00355[c] + C08538[c] <=> C08543[c] + C00001[c]"	"X"	"3,4-Dihydroxy-L-phenylalanine + Betalamic acid <=> Dopaxanthin + H2O"
"R04601"	"C06048[c] + C00005[c] + C00080[c] <=> C04797[c] + C00006[c]"	"3,4-dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)"	"Stizolobinate + NADPH + H+ <=> 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NADP+"
"R13150"	"C08942[c] <=> C08972[c]"	"X"	"Echinocystic acid <=> Quillaic acid"
"R05572"	"C06556[c] + C00001[c] <=> C06557[c] + C01327[c]"	"X"	"Deisopropylatrazine + H2O <=> Deisopropylhydroxyatrazine + Hydrochloric acid"
"R06164"	"G10615 + G00039 <=> G10620 + G00040"	"X"	"G10615 + G00039 <=> G10620 + G00040"
"R05811"	"C11541[c] + C00019[c] + C00001[c] <=> C11542[c] + C00021[c] + C00084[c]"	"X"	"Cobalt-precorrin 5 + S-Adenosyl-L-methionine + H2O <=> Cobalt-precorrin 6 + S-Adenosyl-L-homocysteine + Acetaldehyde"
"R05646"	"C00002[c] + C07836[c] <=> C00008[c] + C11472[c]"	"ATP:D-glycero-beta-D-manno-heptose 7-phosphate 1-phosphotransferase"	"ATP + D-glycero-beta-D-manno-Heptose 7-phosphate <=> ADP + D-glycero-beta-D-manno-Heptose 1,7-bisphosphate"
"R01199"	"2 C00139[c] + C00109[c] + C00010[c] <=> 2 C00138[c] + C00100[c] + C00011[c] + 2 C00080[c]"	"2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating)"	"2 Oxidized ferredoxin + 2-Oxobutanoate + CoA <=> 2 Reduced ferredoxin + Propanoyl-CoA + CO2 + 2 H+"
"R09276"	"C18348[c] + C00007[c] <=> C18349[c]"	"2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl:oxygen 1,2-oxidoreductase (decyclizing)"	"2,2',3-Trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl + Oxygen <=> 4-[2-(5-Carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate"
"R10840"	"C00979[c] + C20891[c] <=> C20893[c] + C00033[c]"	"O-acetyl-L-serine:isoxazolin-5-one 4-(2-amino-2-carboxyethyl)transferase"	"O-Acetyl-L-serine + Isoxazolin-5-one <=> 3-(5-Oxoisoxazolin-4-yl)-L-alanine + Acetate"
"R12994"	"2 C18325[c] <=> C08308[c]"	"X"	"2 Feruloylagmatine <=> Hordatine B"
"R09071"	"C18151[c] + 2 C00138[c] + 2 C00080[c] <=> C05306[c] + 2 C00139[c] + C00001[c]"	"7(1)-hydroxychlorophyll a:ferredoxin oxidoreductase"	"7(1)-Hydroxychlorophyll a + 2 Reduced ferredoxin + 2 H+ <=> Chlorophyll a + 2 Oxidized ferredoxin + H2O"
"R08835"	"C03758[c] + C08538[c] <=> C08557[c] + C00001[c]"	"X"	"Dopamine + Betalamic acid <=> Miraxanthin-V + H2O"
"R06450"	"C12000[c] + C11933[c] <=> C12001[c] + C00363[c]"	"dTDP-alpha-D-mycaminose:tylactone 5-O-beta-D-mycaminosyltransferase"	"Tylactone + dTDP-D-mycaminose <=> 5-O-beta-D-Mycaminosyltylactone + dTDP"
"R00311"	"C00032[c] + 3 C03024[c] + 3 C00007[c] <=> C00500[c] + C00237[c] + C14818[c] + 3 C03161[c] + 3 C00001[c]"	"protoheme,NADPH---hemoprotein reductase:oxygen oxidoreductase (alpha-methene-oxidizing, hydroxylating)"	"Heme + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Biliverdin + CO + Fe2+ + 3 [Oxidized NADPH---hemoprotein reductase] + 3 H2O"
"R11951"	"C09092[c] + C03024[c] + C00007[c] <=> C21796[c] + C03161[c] + C00001[c]"	"ferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxyferruginol forming)"	"Ferruginol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 11-Hydroxyferruginol + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R03084"	"C00944[c] <=> C02637[c] + C00001[c]"	"3-dehydroquinate hydro-lyase"	"3-Dehydroquinate <=> 3-Dehydroshikimate + H2O"
"R11982"	"C18226[c] + C03024[c] + C00007[c] <=> C21827[c] + C03161[c] + C00001[c]"	"X"	"ent-Cassa-12,15-diene + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> ent-Cassa-12,15-dien-2beta-ol + [Oxidized NADPH---hemoprotein reductase] + H2O"
"R06481"	"C01033[c] + 5 C02557[c] + 7 C00083[c] + 9 C00005[c] + 9 C00080[c] <=> C11977[c] + 12 C00011[c] + 13 C00010[c] + 6 C00001[c] + 9 C00006[c]"	"X"	"2-Methylbutanoyl-CoA + 5 Methylmalonyl-CoA + 7 Malonyl-CoA + 9 NADPH + 9 H+ <=> 6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1a'' aglycone + 12 CO2 + 13 CoA + 6 H2O + 9 NADP+"
"R00200"	"C00002[c] + C00022[c] <=> C00008[c] + C00074[c]"	"ATP:pyruvate 2-O-phosphotransferase"	"ATP + Pyruvate <=> ADP + Phosphoenolpyruvate"
"R02850"	"C00131[c] + C00738[c] <=> C00206[c] + C02965[c]"	"dATP:D-hexose 6-phosphotransferase"	"dATP + D-Hexose <=> dADP + D-Hexose 6-phosphate"
