bigg_id,name,reaction_string,kegg_reactions
THFGLUS,TetrahydrofolateL glutamate gamma ligase  ADP forming ,atp_c + glu__L_c + thf_c <-> adp_c + h_c + pi_c + thfglu_c,R00942
THRTRSm,Threonyl tRNA synthetase  mitochondrial,atp_m + thr__L_m + trnathr_m <-> amp_m + ppi_m + thrtrna_m,R03663
TMDPPK,Thiamine diphosphate kinase,atp_c + thmpp_c <-> adp_c + thmtp_c,R00616
TYRTRSm,Tyrosyl tRNA synthetase  mitochondrial,atp_m + trnatyr_m + tyr__L_m <-> amp_m + ppi_m + tyrtrna_m,R02918
UREASE,Urea carboxylase,atp_c + hco3_c + urea_c <-> adp_c + allphn_c + h_c + pi_c,R00774
URIDK2rn,Uridylate kinase  dUMP   nuclear,atp_n + dump_n <-> adp_n + dudp_n,R02098
VALTAim,Valine transaminase  mitochondiral,akg_m + val__L_m <-> 3mob_m + glu__L_m,R01214
VALTRSm,Valyl tRNA synthetase  mitochondrial,atp_m + trnaval_m + val__L_m <-> amp_m + ppi_m + valtrna_m,R03665
XYLTD_D,Xylitol dehydrogenase  D xyulose forming ,nad_c + xylt_c <-> h_c + nadh_c + xylu__D_c,R01896
ACLDC,Acetolactate decarboxylase,alac__S_c + h_c <-> actn__R_c + co2_c,R02948
ACOAD1,Acyl-CoA dehydrogenase (butanoyl-CoA),b2coa_c + h_c + nadh_c <-> btcoa_c + nad_c,R01171
ACYP_2,Acylphosphatase (2),actp_c + h2o_c <-> ac_c + h_c + pi_c,R00317
ALCD1,Alcohol dehydrogenase (methanol),meoh_c + nad_c <-> fald_c + h_c + nadh_c,R00605
CHCOAL,6-carboxyhexanoate-CoA ligase,atp_c + coa_c + pime_c <-> amp_c + pmcoa_c + ppi_c,R03209
G3PCT,Glycerol-3-phosphate cytidylyltransferase,ctp_c + glyc3p_c + h_c <-> cdpglyc_c + ppi_c,R00856
GCCa,Glycine-cleavage complex,gly_c + h_c + lpro_c <-> alpro_c + co2_c,R03425
GCCb,Glycine cleavage complex,alpro_c + thf_c <-> dhlpro_c + mlthf_c + nh4_c,R04125
HEXTT,Trans-hexaprenyltranstransferase,hexdp_c + ipdp_c <-> hepdp_c + ppi_c,R05612
HISDr,Histidase r,his__L_c <-> nh4_c + urcan_c,R01168
NBAH,N-Benzoylglycine amidohydrolase,bgly_c + h2o_c <-> bz_c + gly_c,R01424
OIVD1r,2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate),4mop_c + coa_c + nad_c <-> co2_c + ivcoa_c + nadh_c,R01651
OIVD2,2-oxoisovalerate dehydrogenase (acylating; 3-methyl-2-oxobutanoate),3mob_c + coa_c + nad_c <-> co2_c + ibcoa_c + nadh_c,R01210
ORNTAC,Ornithine transacetylase,acorn_c + glu__L_c <-> acglu_c + orn_c,R02282
PTHPS,6-pyruvoyltetrahydropterin synthase,ahdt_c <-> 6pthp_c + pppi_c,R04286
SUCD1,Succinate dehydrogenase,fad_c + succ_c <-> fadh2_c + fum_c,R00408
UAG2EMA,UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis),h2o_c + uacgam_c <-> acmana_c + h_c + udp_c,R00414
UAG4Ei,UDP-N-acetylglucosamine 4-epimerase,uacgam_c <-> udpacgal_c,R00418
URCN,Urocanase,h2o_c + urcan_c <-> 4izp_c,R02914
URFGTT,UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase,2ombz_c + amet_c <-> 2ommb_c + ahcys_c + h_c,R04990
URIK3,Uridine kinase (ITP:Uridine),itp_c + uri_c <-> h_c + idp_c + ump_c,R00970
NMNR,Nmn hydrolysis,nmn_e + h2o_e <-> rnam_e + pi_e,R02323
OXPTNDH,Glutarate-semialdehyde:NAD+ oxidoreductase,nad_c + h2o_c + oxptn_c <-> glutar_c + 2.0 h_c + nadh_c,R02401
GALAM6PISO,N Acetyl D Galactosamine 6 phosphate isomerase,h2o_c + galam6p_c <-> nh4_c + tag6p__D_c,R08365
CLB6PH,Cellobiose hydrolase,cellb6p_c <-> g6p_c + glc__D_c,R00839; R06112
ARABDI,L-fucose isomerase,arab__D_c <-> rbl__D_c,R01577
DKFPS2,6 deoxy 5 ketofructose 1 phosphate synthase 2 (from fdp),fdp_c + mthgxl_c <-> dkfp_c + g3p_c,R10049
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,acnam_c + ctp_c <-> cmpacna_c + ppi_c,R01117
NICRNS,Nicotinate D-ribonucleotide synthase (ATP),nicrns_c + atp_c <-> nicrnt_c + h_c + adp_c,R03347
PPOR,"Phenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",phpyr_c + o2_c <-> co2_c + 2hyoxplac_c,R01372
ACOAH,Acetyl-CoA hydrolase,h_c + coa_c + ac_c <-> h2o_c + accoa_c,R00227
ARAB1D1,ARAB1D1,nad_c + arab__D_c <-> h_c + nadh_c + Dara14lac_c,R01574
AM6SAD,Aminomuconate-semialdehyde dehydrogenase,nad_c + h2o_c + am6sa_c <-> 2.0 h_c + nadh_c + amuco_c,R03889
CSNATirm,CSNATirm,accoa_m + crn_m <-> coa_m + acrn_m,R02396
DHFS_1,Dihydrofolate synthase,glu__L_c + atp_c + dhpt_c <-> adp_c + dhf_c + pi_c,R02237
DHORTSn,DHORTSn,h2o_n + dhor__S_n <-> cbasp_n + h_n,R01993
KATp,KATp,3oacoa_x + coa_x <-> accoa_x + acoa_x,R00391
METS_1,Methionine synthase,hcys__L_c + 5mthf_c <-> met__L_c + thf_c,R00946
MTHFC_1,Methenyltetrahydrofolate cyclohydrolase,h2o_c + methf_c <-> 10fthf_c,R01655
MTHFR3_1,"5, 10 methylenetetrahydrofolate reductase NADPH ",h_c + nadph_c + mlthf_c <-> nadp_c + 5mthf_c,R01224
NADS1m,NADS1m,dnad_m + atp_m + nh4_m <-> h_m + ppi_m + amp_m + nad_m,R00189
QULNS_1,Quinolinate synthase,dhap_c + iasp_c <-> h_c + pi_c + 2.0 h2o_c + quln_c,R04292
SBPP1,Sphinganine 1-phosphate phosphatase,sph1p_c + h2o_c <-> pi_c + sphgn_c,R06520
2OH3K5MPPISO,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase,h2o_c + hkmpp_c <-> pi_c + dhmtp_c,R07394
ENOPH,Enolase-phosphatase E1,h2o_c + dkmpp_c <-> pi_c + dhmtp_c,R07395
GLYOX_1,Glyoxalase I; Ni-dependent,lgt__S_c <-> gthrd_c + mthgxl_c,R02530
PAPSSH,PAPSSH,2.0 h_c + pap_c + so4_c <-> paps_c + h2o_c,R00507
CMCMSAD,4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase,5cmhmsa_c + h2o_c + nad_c <-> 2.0 h_c + 5cmhm_c + nadh_c,R04418
DHPDO,3 4 dihydroxyphenylacetate 2 3 dioxygenase,34dhpha_c + o2_c <-> h_c + 5cmhmsa_c,R03303
CMHMI,5 carboxymethyl 2 hydroxymuconate delta isomerase,5cmhm_c <-> 5cohe_c,R04379
4H2KPILY,4h2kpi Lyase,4h2kpi_c <-> pyr_c + sucsal_c,R01645
3MCAT23DOX,Catechol 2 3 dioxygenase  m xylene ,o2_c + 3mcat_c <-> h_c + cchoxod_c,R04089
3OADPCOAT,3-oxoadipate CoA-transferase,succoa_c + 3oxoadp_c <-> succ_c + oxadpcoa_c,R02990
4CMCOAS,4-Coumarate:Coa Ligase (AMP-Forming),T4hcinnm_c + atp_c + coa_c <-> coucoa_c + amp_c + ppi_c,R01616
4HBHYOX,4 hydroxybenzoate NADPHoxygen oxidoreductase  3 hydroxylating ,4hbz_c + nadph_c + o2_c + h_c <-> nadp_c + 34dhbz_c + h2o_c,R01298
4MCAT23DOX,Catechol 2 3 dioxygenase,o2_c + 4mcat_c <-> h_c + hmccms_c,R05295
4OD2,4 oxalocrotonate decarboxylase p xylene ,h_c + 2omcm_c <-> co2_c + 2hchd_c,R05374
AADSACYCL,AAPSAS,thp2c_c + h2o_c + h_c <-> L2aadp6sa_c,R02317
ADCPS1,Adenosylcobinamide-phosphate synthase,adcobhex_c + appl_c + atp_c <-> adp_c + adocbi_c + pi_c + h_c,R07302
ADCPS2,Adenosylcobinamide-phosphate synthase,applp_c + atp_c + adcobhex_c <-> pi_c + adocbip_c + h_c + adp_c,R06529
ADPT2,Adenine phosphoribosyltransferase,ppi_c + aicar_c <-> prpp_c + C04051_c,R04378
APENTAMAH,APENTAMAH,5apentam_c + h2o_c <-> 5aptn_c + nh3_c,R02273
APSR,Adenosine 5'-phosphosulfate reductase;,trdrd_c + aps_c <-> so3_c + 2.0 h_c + amp_c + trdox_c,R07176
ASPO1,L-aspartate oxidase,asp__L_c + o2_c + h2o_c <-> h2o2_c + oaa_c + nh4_c,R00357
BDH,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,bhb_c + nad_c <-> nadh_c + h_c + acac_c,R01361
BZ12DOX,"Benzoate 1,2-dioxygenase",nadh_c + bz_c + h_c + o2_c <-> nad_c + bz12diol_c,R05621
BZALDH,Benzyl alcohol dehydrogenase,nad_c + bzalc_c <-> bzal_c + nadh_c + h_c,R01487; R01763
BZDH,Benzaldehyde dehydrogenase,bzal_c + h2o_c + nad_c <-> nadh_c + bz_c + 2.0 h_c,R01419; R01486
BZDIOLDH,"1,2-dihydrodihydroxybenzoate dehydrogenase",bz12diol_c + nad_c <-> catechol_c + nadh_c + co2_c,R00813
CAFFCOA,Feruloyl coenzyme A synthetase  AMP forming ,atp_c + coa_c + 34dhcinm_c <-> amp_c + caffcoa_c + ppi_c,R01943
CAT23DOX,Catechol 2 3 dioxygenase,o2_c + catechol_c <-> 2hmcnsad_c,R00816
CATDOX,"Catechol 1,2-dioxygenase;",o2_c + catechol_c <-> 2.0 h_c + ccmuac_c,R00817
CHOLSH,CHOLINE-SULFATASE-RXN,h2o_c + chols_c <-> chol_c + so4_c + h_c,R01028
COALDDH,Coniferyl aldehyde dehydrogenase,h2o_c + conialdh_c + nad_c <-> fer_c + nadh_c + 2.0 h_c,R05700
COCHL,Cobaltochelatase,atp_c + cobalt2_c + h2o_c + hgbam_c <-> adp_c + pi_c + co2dam_c + 2.0 h_c,R05227
DH3MCHCDH,1 2 dihydrodihydroxybenzoate dehydrogenase,dh3mchc_c + nad_c <-> 3mcat_c + co2_c + nadh_c,R05309
DH4MCHCDH,1 2 dihydrodihydroxybenzoate dehydrogenase,dh4mchc_c + nad_c <-> nadh_c + co2_c + 4mcat_c,R05292
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",h2o_c + 56dura_c <-> cala_c + h_c,R02269
FERULCOAS,Feruloyl coenzyme A synthetase  AMP forming ,fer_c + coa_c + atp_c <-> amp_c + ferulcoa_c + ppi_c,R02194
FORGLUIH,FORGLUIH,h2o_c + forglu_c + 2.0 h_c <-> nh3_c + Nforglu_c,R02286
GDBTALDH,4 Guanidinobutanoate,h2o_c + gdbtal_c + nad_c <-> 2.0 h_c + 4gudbutn_c + nadh_c,R03177
GLYCL_2,"Glycine cleavage system, cytosol",nadh_c + co2_c + mlthf_c + nh4_c <-> thf_c + nad_c + gly_c,R01221
GLYCTO1,Glycolate oxidase,glyclt_c + o2_c <-> h2o2_c + glx_c,R00475
GUDBUTNAH,4-Guanidinobutanoate amidinohydrolase,h2o_c + 4gudbutn_c <-> 4abut_c + urea_c,R01990
HACD9,3 hydroxyacyl CoA dehydrogenase  2 Methylacetoacetyl CoA ,3hmbcoa_c + nad_c <-> nadh_c + h_c + 2maacoa_c,R04203
HMSD,2 Hydroxymuconate semialdehyde,h2o_c + 2hmcnsad_c + nad_c <-> 3.0 h_c + nadh_c + 2hmc_c,R02762
HMSD2,2 Hydroxymuconate semialdehyde,h2o_c + hmccms_c + nad_c <-> 2.0 h_c + hmccm_c + nadh_c,R05353
LPCOXc,L Pipecolateoxygen 1 6 oxidoreductase,o2_c + Lpipecol_c <-> thp2c_c + h_c + h2o2_c,R02204
MACCOAT,2-Methylacetyl-CoA thiolase,coa_c + 2maacoa_c <-> ppcoa_c + accoa_c,R00927
MALEI,Maleate cis trans isomerase,male_c <-> fum_c,R01087
MALMDA,MALMDA,h2o_c + malm_c <-> h_c + male_c + nh3_c,R03540
MBCOAi,"3-Methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase",fad_c + ivcoa_c <-> 3mb2coa_c + fadh2_c,R04095
MUCCY_kt,3 carboxy cis cis muconate cycloisomerase,h_c + CCbuttc_c <-> 4cml_c,R03307
NFORGLUAH,N-Formyl-L-glutamate amidohydrolase,Nforglu_c + h2o_c <-> for_c + glu__L_c + 2.0 h_c,R00525
OCOAT1,3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate),acac_c + succoa_c <-> aacoa_c + succ_c,R00410
OP4ENH2,2 oxopent 4 enoate hydratase p xylene ,h2o_c + 2hchd_c <-> 4hoxoh_c,R05864
PC11M,Precorrin-4 C11-methyltransferase,amet_c + pre4_c <-> ahcys_c + h_c + pre5_c,R05181
PC17M,Precorrin-3B C17-methyltransferase,amet_c + pre3b_c <-> ahcys_c + pre4_c + 3.0 h_c,R05180
PC6AR,Precorrin-6A reductase,nadph_c + h_c + pre6a_c <-> nadp_c + pre6b_c,R05150
PC6YM,"Precorrin-6Y C5,15-methyltransferase (decarboxylating)",2.0 amet_c + pre6b_c <-> 2.0 ahcys_c + pre8_c + co2_c + 2.0 h_c,R05149
PCADYOX,Protocatechuate 3 4 dioxygenase,o2_c + 34dhbz_c <-> 2.0 h_c + CCbuttc_c,R01631
PTOLDOX,Benzoate 1 2 dioxygenase,p_tol_c + nadh_c + o2_c + h_c <-> dh4mchc_c + nad_c,R05290
PYRDOX,2 5 dihydroxypyridine dioxygenase,o2_c + dhpyr_c <-> nfmalm_c + h_c,R09125
QUIDH,Quinate dehydrogenase  pyrroloquinoline quinone ,pqq_c + quin_c <-> pqqh2_c + 3dhq_c,R01873
R05219,Precorrin 5 <=> Precorrin 6X,amet_c + h2o_c + pre5_c <-> ahcys_c + h_c + ac_c + pre6a_c,R05219
SELMETAT,Selenomethionine adenosyltransferase,h2o_c + selmeth_c + atp_c <-> pi_c + seasmet_c + ppi_c,R04771
UPPN,B-ureidopropionase,h2o_c + 2.0 h_c + cala_c <-> co2_c + nh4_c + ala_B_c,R00905
VNDH_2,4-hydroxybenzaldehyde dehydrogenase,4hbald_c + h2o_c + nad_c <-> 4hbz_c + nadh_c + 2.0 h_c,R01293
VNTDM,Vanillateoxygen oxidoreductase  demethylating ,vanlt_c + h_c + nadh_c + o2_c <-> nad_c + fald_c + h2o_c + 34dhbz_c,R05274
4HGLSD,4HGLSD,h2o_c + 4hglusa_c + nad_c <-> nadh_c + 2.0 h_c + e4hglu_c,R05051
ACP1_FMN,Acid phosphatase (FMN),fmn_c + h2o_c <-> ribflv_c + pi_c,R00548
AMID5,R311-RXN,aa_c + h2o_c <-> nh4_c + acryl_c,R05551
CCP,CCP,2.0 h_c + 2.0 focytcc553_c + h2o2_c <-> 2.0 ficytcc553_c + 2.0 h2o_c,R00017
FORAMD,FORAMD,frmd_c + h2o_c <-> nh4_c + for_c,R00524
PHCHGS,PHCHGS,h_c + h2o_c + 1p3h5c_c <-> 4hglusa_c,R04443
PSP_D,Phosphoserine phosphatase  D serine ,h2o_c + pser__D_c <-> pi_c + ser__D_c,R02853
RBK_Dr,D-ribulokinase (D-ribulose),rbl__D_c + atp_c <-> h_c + adp_c + ru5p__D_c,R01526
PPCOAC,Propionyl-CoA carboxylase,hco3_c + atp_c + ppcoa_c <-> mmcoa__S_c + h_c + adp_c + pi_c,R01859
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),oaa_c + gtp_c <-> pep_c + co2_c + gdp_c,R00431
MPML,Mg-protoporphyrin IX magnesium-lyase,ppp9_c + h2o_c + atp_c + mg2_c <-> mppp9_c + adp_c + 3.0 h_c + pi_c,R03877
MMSAD3,Methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde),msa_c + coa_c + nad_c <-> accoa_c + nadh_c + co2_c,R00705
MI4PP,1D-myo-Inositol 4-phosphate phosphohydrolase,mi4p__D_c + h2o_c <-> inost_c + pi_c,R01186
MI3PP,1D-myo-Inositol 3-phosphate phosphohydrolase,mi3p__D_c + h2o_c <-> inost_c + pi_c,R01187
UAAGLS2,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine synthetase (gamma-glutamate),uamag_c + lys__L_c + atp_c <-> uGgl_c + adp_c + h_c + pi_c,R02786
OXGDC,2 oxoglutarate decarboxylase,akg_c + h_c <-> sucsal_c + co2_c,R00272
OXACOAL,OXACOAL,atp_c + coa_c + oxa_c <-> oxalcoa_c + amp_c + ppi_c,R01558
OPAH,5-Oxoproline amidohydrolase (ATP-hydrolysing) (ir),5oxpro_c + atp_c + 2.0 h2o_c <-> adp_c + pi_c + h_c + glu__L_c,R00251
DPPS,Decaprenyl synthase,frdp_c + 7.0 ipdp_c <-> 7.0 ppi_c + decdp_c,R09249
DGC3D,DGC3D,2dglcn_c + nad_c <-> 3ddgc_c + h_c + nadh_c,R04049
CPC8MM,Precorrin-8X methylmutase,copre8_c <-> cobya_c,R05814
CPC6MT,"Precorrin-6Y C5,15-methyltransferase (decarboxylating)",codhpre6_c + 2.0 amet_c <-> h_c + 2.0 ahcys_c + copre8_c + co2_c,R05813
APATr,B alanine pyruvate aminotransferase,pyr_c + ala_B_c <-> ala__L_c + msa_c,R00907
AICART2,AICART2,for_c + atp_c + aicar_c <-> fprica_c + adp_c + pi_c,R06975
FCOAH2,Formyl coa hydrolase,forcoa_c + h2o_c <-> for_c + h_c + coa_c,R00521
ALCD3ir,Alcohol dehydrogenase Propanal ,h_c + ppal_c + nadh_c <-> ppoh_c + nad_c,R02377
ABTDG,D-arabitol dehydrogenase,abt__D_c + nad_c <-> xylu__D_c + h_c + nadh_c,R05604
RBTDG,Ribitol dehydrogenase,rbt_c + nad_c <-> h_c + nadh_c + rbl__D_c,R01895
2INSD,2-Inosose dehydratase,2ins_c <-> dkdi_c + h2o_c,R02782; R05659
LYSAM,"Lysine 2,3-aminomutase",lys__L_c <-> 36dahx_c,R00461
4ABUTD,4-Aminobutyraldehyde:NAD+ oxidoreductase,nadp_c + h2o_c + 4abutn_c <-> 2.0 h_c + nadph_c + 4abut_c,R01986
DHPS2_1,Dihydropteroate synthase,4abz_c + 6hmhptpp_c <-> dhpt_c + h_c + ppi_c,R03067
G1PP,Glucose-1-phosphatase,g1p_c + h2o_c <-> glc__D_c + pi_c,R00304
MTHFR2_1,"5,10-methylenetetrahydrofolate reductase (NADH)",h_c + mlthf_c + nadh_c <-> 5mthf_c + nad_c,R07168
NADDPe,NAD diphosphatase (extracellular),h2o_e + nad_e <-> amp_e + 2.0 h_e + nmn_e,R00103
13PPDH,"1,3-propanediol dehydrogenase",3hppnl_c + h_c + nadh_c <-> 13ppd_c + nad_c,R03119
ACTDa,Acetoin dehydrogenase,actn__R_c + nadp_c <-> diact_c + h_c + nadph_c,R02856
ARAT,Methionine transaminase,4met2obut_c + glu__L_c <-> akg_c + h_c + met__L_c,R07396
ARD_1,Acireductone dioxygenase,dhmtp_c + o2_c <-> 4met2obut_c + for_c + h_c,R07364
CPC5MT,Precorrin-5 C1-methyltransferase,amet_c + copre5_c + h2o_c <-> acald_c + ahcys_c + copre6_c + h_c,R05811
CYRDAR2,"Cob(II)yrinic acid a,c-diamide reductase (fmn-dependent)",2.0 co2dam_c + fmnh2_c <-> 2.0 co1dam_c + fmn_c + 2.0 h_c,R05218
INS2D,Inositol 2-dehydrogenase,inost_c + nad_c <-> 2ins_c + h_c + nadh_c,R01183
ASNTRS_1,Asparaginyl tRNA synthetase,atp_c + asn__L_c + trnaasn_c <-> h_c + ppi_c + amp_c + asntrna_c,R03648
PALDH,Phosphonoacetaldehyde hydrolase,h2o_c + Pald_c <-> pi_c + acald_c,R00747
34DHPACDO,3 4 dihydroxyphenylacetate 2 3 dioxygenase,o2_c + 34dhpacet_c <-> h_c + 5cmhmsa_c,R03303
CODSCL4MT,Cobalt precorrin 4 methyltransferase,amet_c + copre4_c <-> h_c + ahcys_c + codscl5a_c,R05810
CODSCL5DA,Cobalt precorrin 5a deacetylation,h2o_c + codscl5a_c <-> h_c + acald_c + codscl5b_c,R07772
CODSCL8XI,Cobalt precorrin 8x isomerase,codscl8x_c <-> cobya_c,R05814
LTHRK,L threonine kinase,atp_c + thr__L_c <-> adp_c + h_c + thrp_c,R06531
THRPDC,L threonine phosphate decarboxylase,h_c + thrp_c <-> co2_c + applp_c,R06530
CDPGLC46DH,CDP glucose 4 6 dehydratase,cdpglc_c <-> h2o_c + cdp4dh6doglc_c,R02426
DMBZIDS,DMB synthase,ribflv_c <-> dmbzid_c,R01734
ACITL,ATP-Citrate lyase,atp_c + cit_c + coa_c <-> accoa_c + adp_c + oaa_c + pi_c,R00352
BCOALIG,Benzoate CoA ligase,atp_c + bz_c + coa_c + 4.0 h_c <-> amp_c + benzcoa_c + ppi_c,R01422
BCOALIG2,4-hydroxybenzoate--coenzyme A ligase,4hbz_c + atp_c + coa_c <-> 4hbzcoa_c + amp_c + ppi_c,R01300
BZSCT,Benzylsuccinate CoA-transferase,bzsucc_c + succoa_c <-> bzsuccoa_c + succ_c,R05588
CSPMDDC,Carboxynorspermidine decarboxylase,cspmd_c + h_c <-> co2_c + spmd_c,R09081
CSPMDDH,Carboxyspermidine dehydrogenase,aspsa_c + h_c + nadph_c + ptrc_c <-> cspmd_c + h2o_c + nadp_c,R09079
FUTH,Futalosine hydrolase,fut_c + h2o_c <-> dhxfut_c + hxan_c,R08587
GHBDHy,Gamma-hydroxybutyrate dehydrogenase (NADPH),h_c + nadph_c + sucsal_c <-> ghb_c + nadp_c,R09281
IBTMr,Isobutyryl-CoA mutase,btcoa_c <-> ibcoa_c,R01181
MCSNAH,5-Methylcytosine aminohydrolase,5mcsn_c + h_c + h2o_c <-> nh4_c + thym_c,R01411
NAD_H2,NAD-linked hydrogenase,h_c + nadh_c <-> h2_c + nad_c,R00700
OCHCCH,6-oxo-cyclohex-1-ene-carbonyl-CoA hydrolase,6occhcoa_c + 4.0 h_c + 2.0 h2o_c <-> 3hpimcoa_c,R05594
PHEPC,Phenylphosphate carboxylase,co2_c + h2o_c + pphos_c <-> 4hbz_c + h_c + pi_c,R05603
PICH,Phenylitaconyl-CoA hydratase,h2o_c + phitcoa_c <-> hmpscoa_c,R05599
PPA_1pp,Inorganic diphosphatase (one proton translocation) (periplasm),h2o_c + ppi_c <-> 2.0 pi_c + h_p,R00004
SUCOAACTr,Succinyl-CoA:acetate CoA transferase,ac_c + succoa_c <-> accoa_c + succ_c,R10343
UDPGLDC,UDP-D-glucuronate decarboxylase,h_c + udpglcur_c <-> co2_c + udpxyl_c,R01384
VACOAI,Vinylacetyl-CoA Delta-isomerase,vaccoa_c <-> b2coa_c,R03031
ALDD20x,"Aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",nad_c + h2o_c + id3acald_c <-> 2.0 h_c + nadh_c + ind3ac_c,R02678
CYSTA,Cysteine transaminase,akg_c + cys__L_c <-> glu__L_c + mercppyr_c,R00895; R00896
GAPDi_nadp,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),h_c + nadph_c + 13dpg_c <-> nadp_c + pi_c + g3p_c,R01063
GMPS,GMP synthase,atp_c + nh4_c + xmp_c <-> 2.0 h_c + ppi_c + amp_c + gmp_c,R01230
GTHRDH_syn,Glutathione hydralase (periplasmic),h2o_c + gthrd_c <-> glu__L_c + cgly_c,R00494
LALDO,D-Lactaldehyde NAD+ oxidoreductase (glutathione-formylating),nad_c + gthrd_c + lald__D_c <-> h_c + nadh_c + lgt__S_c,R03082
MPOMMM,"Magnesium-protoporphyrin-IX 13-monomethyl ester,NADPH oxygen oxidoreductase (hydroxylating)",h_c + o2_c + nadph_c + hmppp9_c <-> 2.0 h2o_c + nadp_c + omppp9_c,R06266
MPOMOR,Magnesium-protoporphyrin-IX 13-monomethyl ester NADPH oxygen oxidoreductase (hydroxylating),h_c + o2_c + nadph_c + omppp9_c <-> 2.0 h2o_c + nadp_c + dvpchlld_c,R06267
NDPK10,Nucleoside-diphosphate kinase (ATP dIDP),atp_c + didp_c <-> adp_c + ditp_c,R03530
PHYTES,Geranylgeranyl-diphosphate geranylgeranyl-diphosphate geranylgeranyltransferase,2.0 ggdp_c <-> ppi_c + prephytedp_c,R02065
PRUK,Phosphoribulokinase,atp_c + ru5p__D_c <-> adp_c + h_c + rb15bp_c,R01523
PYK4,Pyruvate kinase(4),h_c + cdp_c + pep_c <-> pyr_c + ctp_c,R00572
PYK5,Pyruvate kinase(5),h_c + pep_c + idp_c <-> pyr_c + itp_c,R00724
SBP,Sedoheptulose-bisphosphatase,h2o_c + s17bp_c <-> pi_c + s7p_c,R01845
SULR_syn,Ferredoxin-sulfite reductase,8.0 h_c + 6.0 fdxrd_c + so3_c <-> 3.0 h2o_c + 6.0 fdxo_2_2_c + h2s_c,R00859
TOCOPHOM1,Tocopherol O-methyltransferase,amet_c + gtocophe_c <-> h_c + ahcys_c + avite1_c,R07236
TOCOPHOM2,Tocopherol O-methyltransferase(2),amet_c + dtocophe_c <-> h_c + ahcys_c + bvite_c,R07504
TOCOPHS1,Tocopherol cyclase (g),23dmphol_c <-> gtocophe_c,R07502
TOCOPHS2,Tocopherol cyclase (d),2m6phol_c <-> dtocophe_c,R07503
GGDPR,Geranylgeranyl diphosphate reductase,3.0 h_c + 3.0 nadph_c + ggdp_c <-> 3.0 nadp_c + phdp_c,R02063
SPP,Sucrose-phosphate phosphatase,h2o_c + suc6p_c <-> pi_c + sucr_c,R00805; R06211
SQLC2,Squalene mutase (cyclizing),h2o_c + sql_c <-> dpterol_c,R07323
1PPDCRp,"Delta1-piperideine-2-carboxylate reductase, perixosomal",h_x + 1pipdn2c_x + nadh_x <-> nad_x + Lpipecol_x,R02201
2AMACHYD,2-Aminoacrylate hydrolysis,2amac_c + h2o_c <-> pyr_c + nh4_c,R08698
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),nad_m + 2oxoadp_m + coa_m <-> co2_m + nadh_m + glutcoa_m,R01933
3HPCOAHYD,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + h2o_c <-> h_c + 3hpp_c + coa_c,R03158
3HPPD,3-hydroxypropionate dehydrogenase,nad_c + 3hpp_c <-> nadh_c + msa_c + h_c,R01608
3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),o2_c + 3hxkynam_c <-> nh4_c + h2o2_c + 48dhoxquin_c,R04907
3NTD7l,"3'-nucleotidase (AMP), lysosome",3amp_l + h2o_l <-> pi_l + adn_l,R01562
41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",h2o_c + o2_c + nrpphr_c <-> 34dhmald_c + nh4_c + h2o2_c,R02532
42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",dopa_c + h2o_c + o2_c <-> h2o2_c + nh4_c + 34dhpac_c,R04300
5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),h2o_c + srtn_c + o2_c <-> h2o2_c + 5hoxindact_c + nh4_c,R02908
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",nad_m + L2aadp6sa_m + h2o_m <-> 2.0 h_m + nadh_m + L2aadp_m,R03102
ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial)",akg_m + 4abut_m <-> sucsal_m + glu__L_m,R01648
